REPOSITORY                                               TAG                                                                           IMAGE ID            CREATED             SIZE
zettage/flask                                            docker                                                                        4bce4ad6ee4e        2 weeks ago         67.73 MB
alpine                                                   latest                                                                        13e1761bf172        3 weeks ago         4.797 MB
nijialiang/flask                                         latest                                                                        b896df73b512        3 weeks ago         66.44 MB
<none>                                                   <none>                                                                        09f6ac3df687        4 weeks ago         66.41 MB
192.168.1.117:5000/43/ab4d809e0b9311e69d51005056c00008   latest                                                                        5498273b7cd7        5 weeks ago         3.308 GB
192.168.1.117:5000/43/a57e3a700b9311e6ae96005056c00008   latest                                                                        5cb9072af897        5 weeks ago         3.308 GB
192.168.1.117:5000/1/f6ed13f00b6a11e68707005056c00008    latest                                                                        22553fc0adda        5 weeks ago         4.527 GB
192.168.1.117:5000/1/e4397af00b6a11e6bc3f005056c00008    latest                                                                        c3293d71b7f8        5 weeks ago         3.702 GB
192.168.1.117:5000/15/271bb821093a11e68e3b005056c00008   latest                                                                        74e58e963325        5 weeks ago         4.529 GB
redis                                                    latest                                                                        0f0e96f1f267        5 weeks ago         177.5 MB
zettage/all-spark-notebook                               latest                                                                        d01d3b74ac31        8 weeks ago         4.627 GB
zettage/sparkvnc                                         latest                                                                        f852105426b0        9 weeks ago         2.542 GB
busybox                                                  latest                                                                        47bcc53f74dc        10 weeks ago        1.113 MB
jupyter/all-spark-notebook                               latest                                                                        cf524c5d1540        10 weeks ago        4.541 GB
<none>                                                   <none>                                                                        c1d4ed51eab2        10 weeks ago        1.279 GB
<none>                                                   <none>                                                                        bf1f07c068a4        12 weeks ago        1.636 GB
swarm                                                    latest                                                                        291cbe419fe6        3 months ago        18.11 MB
spark                                                    latest                                                                        1c72f20c776b        3 months ago        3.629 GB
sameersbn/bind                                           latest                                                                        9c64569793dc        3 months ago        320.5 MB
jdk                                                      latest                                                                        9a4bd39f1290        3 months ago        574.3 MB
zhaoke/jdk                                               latest                                                                        9a4bd39f1290        3 months ago        574.3 MB
192.168.1.117:5000/1/3787deb0d5e011e5b691005056c00008    latest                                                                        fe18818d40a4        3 months ago        3.067 GB
192.168.1.117:5000/1/85cc9ba1d55a11e584ab005056c00008    latest                                                                        d1d890772a62        3 months ago        3.067 GB
192.168.1.117:5000/5/df65bb1ed55911e5b39a005056c00008    latest                                                                        1f21c447152f        3 months ago        3.308 GB
192.168.1.117:5000/5/9cc8d040d55911e5933b005056c00008    latest                                                                        be176f9c7e98        3 months ago        4.527 GB
192.168.1.117:5000/5/03d8c5f0d55611e5ad3a005056c00008    latest                                                                        60e4ae4b4242        3 months ago        4.527 GB
192.168.1.117:5000/2/761bfbb0d55511e5b979005056c00008    latest                                                                        aafe8d7883e5        3 months ago        3.067 GB
192.168.1.117:5000/1/44f017b0d55511e5bd6f005056c00008    latest                                                                        8120a1000198        3 months ago        3.067 GB
192.168.1.117:5000/1/450c5240d55511e5b9a5005056c00008    latest                                                                        2ff42f84248b        3 months ago        3.067 GB
192.168.1.117:5000/1/36bd9a00d55511e593ca005056c00008    latest                                                                        5fe59e9e9870        3 months ago        3.067 GB
192.168.1.117:5000/1/3729a240d55511e59343005056c00008    latest                                                                        4b5984e2cbaf        3 months ago        3.067 GB
192.168.1.117:5000/1/25149330d55511e5aa38005056c00008    latest                                                                        7e782a210e3f        3 months ago        3.067 GB
192.168.1.117:5000/1/237f7440d55511e584ad005056c00008    latest                                                                        5a160e5c584e        3 months ago        3.067 GB
